,index,Date_TimeCaught,year,week_of_year,year_woy,CaptureSite,Capture_Number
0,944,2019-01-01,2019,1,201901,CaptureSite_0,0.0
1,945,2019-01-07,2019,2,201902,CaptureSite_0,0.0
2,946,2019-01-14,2019,3,201903,CaptureSite_0,0.0
3,947,2019-01-21,2019,4,201904,CaptureSite_0,0.0
4,948,2019-01-28,2019,5,201905,CaptureSite_0,0.0
5,949,2019-02-04,2019,6,201906,CaptureSite_0,0.0
6,950,2019-02-11,2019,7,201907,CaptureSite_0,0.0
7,951,2019-02-18,2019,8,201908,CaptureSite_0,0.0
8,952,2019-02-25,2019,9,201909,CaptureSite_0,0.0
9,953,2019-03-04,2019,10,201910,CaptureSite_0,0.0
10,954,2019-03-11,2019,11,201911,CaptureSite_0,0.0
11,955,2019-03-18,2019,12,201912,CaptureSite_0,0.0
12,956,2019-03-25,2019,13,201913,CaptureSite_0,0.0
13,957,2019-04-01,2019,14,201914,CaptureSite_0,0.0
14,958,2019-04-08,2019,15,201915,CaptureSite_0,0.0
15,959,2019-04-15,2019,16,201916,CaptureSite_0,0.0
16,960,2019-04-22,2019,17,201917,CaptureSite_0,0.0
17,961,2019-04-29,2019,18,201918,CaptureSite_0,0.0
18,962,2019-05-06,2019,19,201919,CaptureSite_0,0.0
19,963,2019-05-13,2019,20,201920,CaptureSite_0,0.0
20,964,2019-05-20,2019,21,201921,CaptureSite_0,0.0
21,965,2019-05-27,2019,22,201922,CaptureSite_0,0.0
22,966,2019-06-03,2019,23,201923,CaptureSite_0,0.0
23,967,2019-06-10,2019,24,201924,CaptureSite_0,0.0
24,968,2019-06-17,2019,25,201925,CaptureSite_0,0.0
25,969,2019-06-24,2019,26,201926,CaptureSite_0,0.0
26,970,2019-07-01,2019,27,201927,CaptureSite_0,0.0
27,971,2019-07-08,2019,28,201928,CaptureSite_0,0.0
28,972,2019-07-15,2019,29,201929,CaptureSite_0,0.0
29,973,2019-07-22,2019,30,201930,CaptureSite_0,0.0
30,974,2019-07-29,2019,31,201931,CaptureSite_0,0.0
31,975,2019-08-05,2019,32,201932,CaptureSite_0,0.0
32,976,2019-08-12,2019,33,201933,CaptureSite_0,0.0
33,977,2019-08-19,2019,34,201934,CaptureSite_0,0.0
34,978,2019-08-26,2019,35,201935,CaptureSite_0,0.0
35,979,2019-09-02,2019,36,201936,CaptureSite_0,0.0
36,980,2019-09-09,2019,37,201937,CaptureSite_0,0.0
37,981,2019-09-16,2019,38,201938,CaptureSite_0,0.0
38,982,2019-09-23,2019,39,201939,CaptureSite_0,0.0
39,983,2019-09-30,2019,40,201940,CaptureSite_0,0.0
40,984,2019-10-07,2019,41,201941,CaptureSite_0,0.0
41,985,2019-10-14,2019,42,201942,CaptureSite_0,0.0
42,986,2019-10-21,2019,43,201943,CaptureSite_0,0.0
43,987,2019-10-28,2019,44,201944,CaptureSite_0,0.0
44,1908,2019-01-01,2019,1,201901,CaptureSite_1,0.0
45,1909,2019-01-07,2019,2,201902,CaptureSite_1,0.0
46,1910,2019-01-14,2019,3,201903,CaptureSite_1,0.0
47,1911,2019-01-21,2019,4,201904,CaptureSite_1,0.0
48,1912,2019-01-28,2019,5,201905,CaptureSite_1,0.0
49,1913,2019-02-04,2019,6,201906,CaptureSite_1,0.0
50,1914,2019-02-11,2019,7,201907,CaptureSite_1,0.0
51,1915,2019-02-18,2019,8,201908,CaptureSite_1,0.0
52,1916,2019-02-25,2019,9,201909,CaptureSite_1,0.0
53,1917,2019-03-04,2019,10,201910,CaptureSite_1,0.0
54,1918,2019-03-11,2019,11,201911,CaptureSite_1,0.0
55,1919,2019-03-18,2019,12,201912,CaptureSite_1,0.0
56,1920,2019-03-25,2019,13,201913,CaptureSite_1,0.0
57,1921,2019-04-01,2019,14,201914,CaptureSite_1,0.0
58,1922,2019-04-08,2019,15,201915,CaptureSite_1,0.0
59,1923,2019-04-15,2019,16,201916,CaptureSite_1,0.0
60,1924,2019-04-22,2019,17,201917,CaptureSite_1,0.0
61,1925,2019-04-29,2019,18,201918,CaptureSite_1,0.0
