iter	RMSE
0	1.473456961
1	1.41688023
2	1.375750167
3	1.346378032
4	1.324551554
5	1.306795927
6	1.296337116
7	1.285310427
8	1.272952751
9	1.263585674
10	1.256230172
11	1.248864017
12	1.242022564
13	1.23602839
14	1.23228291
15	1.229423723
16	1.226134623
17	1.22387515
18	1.221743692
19	1.21944
20	1.214686475
21	1.211104563
22	1.208355071
23	1.205719283
24	1.202999647
25	1.201836378
26	1.200113555
27	1.197282381
28	1.195022188
29	1.192769058
30	1.189345079
31	1.188157563
32	1.185108932
33	1.184333229
34	1.183347538
35	1.182752451
36	1.181047534
37	1.178568098
38	1.176441646
39	1.174575221
40	1.170331576
41	1.168856794
42	1.166936782
43	1.165217033
44	1.162532291
45	1.161154238
46	1.159806026
47	1.15827827
48	1.155670974
49	1.154206492
50	1.152627043
51	1.151807017
52	1.149694849
53	1.148350661
54	1.146699062
55	1.143630487
56	1.141852297
57	1.139466817
58	1.138264057
59	1.135823012
60	1.134192858
61	1.13170438
62	1.130309159
63	1.126760603
64	1.124708111
65	1.122897971
66	1.122174947
67	1.121286626
68	1.118067066
69	1.115243329
70	1.113823589
71	1.111527817
72	1.110474383
73	1.109890079
74	1.107833048
75	1.106647521
76	1.105515373
77	1.10381773
78	1.102565357
79	1.101344678
80	1.100164325
81	1.099226823
82	1.097229856
83	1.095857819
84	1.094906262
85	1.094136854
86	1.09324732
87	1.091271359
88	1.090075929
89	1.088871522
90	1.087951386
91	1.086576295
92	1.085875832
93	1.085036351
94	1.08436833
95	1.082798594
96	1.081588074
97	1.080914367
98	1.078876788
99	1.078332355
100	1.077682723
101	1.076960684
102	1.076159904
103	1.075011439
104	1.074515116
105	1.072280555
106	1.071064031
107	1.069919148
108	1.068164709
109	1.067366915
110	1.066949412
111	1.066351284
112	1.065755853
113	1.064688081
114	1.063738039
115	1.063330777
116	1.062861823
117	1.062034335
118	1.061027299
119	1.059924324
120	1.05916662
121	1.057927007
122	1.057449893
123	1.056530367
124	1.054693883
125	1.053940084
126	1.052665224
127	1.051473971
128	1.050631264
129	1.049975811
130	1.048822702
131	1.048095981
132	1.047328068
133	1.046634583
134	1.04532701
135	1.044732617
136	1.043500723
137	1.042440197
138	1.041213868
139	1.040162671
140	1.039208169
141	1.038122426
142	1.037568963
143	1.036631012
144	1.03549166
145	1.034645473
146	1.034184043
147	1.03306589
148	1.032244095
149	1.03148491
150	1.030828239
151	1.030024435
152	1.029435263
153	1.028108079
154	1.027358056
155	1.026294097
156	1.025801366
157	1.025276894
158	1.024676149
159	1.024292639
160	1.023599278
161	1.022844852
162	1.02209438
163	1.021366276
164	1.020769887
165	1.020141496
166	1.019470764
167	1.018969157
168	1.018629416
169	1.017771411
170	1.016986132
171	1.015945495
172	1.015208923
173	1.014765873
174	1.013822435
175	1.012918159
176	1.01244473
177	1.011718686
178	1.011232388
179	1.010175822
180	1.009409412
181	1.008689381
182	1.007634334
183	1.007125619
184	1.006416224
185	1.00585262
186	1.005210129
187	1.00444527
188	1.003910059
189	1.003407318
190	1.002744812
191	1.002104567
192	1.001649929
193	1.000779735
194	0.9998376855
195	0.9985384859
196	0.9981950217
197	0.9974112215
198	0.9969452098
199	0.9962770674
