iter	Passed	Remaining
0	2	445
1	5	501
2	7	466
3	9	443
4	11	446
5	13	444
6	16	444
7	17	431
8	19	420
9	21	412
10	23	405
11	25	397
12	27	401
13	30	401
14	32	395
15	34	391
16	35	387
17	38	384
18	40	382
19	42	379
20	44	380
21	47	382
22	49	378
23	51	375
24	53	375
25	55	371
26	57	366
27	59	367
28	62	367
29	65	371
30	67	368
31	69	366
32	71	363
33	73	360
34	76	358
35	79	361
36	81	359
37	83	356
38	85	354
39	87	351
40	89	347
41	91	346
42	94	343
43	97	344
44	99	341
45	101	339
46	103	336
47	105	333
48	107	332
49	109	329
50	112	328
51	114	326
52	117	324
53	119	322
54	121	319
55	123	317
56	126	316
57	128	314
58	131	313
59	133	310
60	135	308
61	137	305
62	139	303
63	141	300
64	143	298
65	146	297
66	148	294
67	150	292
68	152	289
69	154	286
70	156	284
71	158	282
72	161	280
73	163	278
74	165	276
75	167	273
76	170	271
77	171	268
78	173	266
79	175	263
80	177	261
81	179	258
82	181	256
83	183	253
84	185	251
85	187	248
86	190	247
87	192	245
88	195	243
89	197	241
90	199	238
91	201	236
92	203	234
93	205	232
94	209	231
95	212	229
96	214	227
97	216	225
98	219	223
99	221	221
100	224	220
101	227	218
102	230	217
103	233	215
104	235	213
105	238	211
106	240	208
107	242	206
108	245	204
109	247	202
110	250	200
111	253	198
112	255	196
113	257	194
114	259	192
115	262	190
116	264	187
117	267	185
118	269	183
119	271	180
120	273	178
121	275	175
122	277	173
123	279	171
124	281	169
125	283	166
126	285	164
127	287	161
128	290	159
129	299	161
130	301	158
131	304	156
132	308	155
133	310	153
134	313	150
135	315	148
136	317	145
137	319	143
138	322	141
139	326	139
140	328	137
141	330	134
142	332	132
143	334	130
144	337	127
145	340	126
146	342	123
147	345	121
148	347	118
149	349	116
150	351	114
151	354	111
152	357	109
153	359	107
154	361	104
155	363	102
156	365	100
157	368	97
158	372	95
159	374	93
160	377	91
161	380	89
162	382	86
163	385	84
164	388	82
165	391	80
166	393	77
167	395	75
168	396	72
169	399	70
170	401	68
171	405	66
172	407	63
173	409	61
174	411	58
175	413	56
176	416	54
177	419	51
178	422	49
179	424	47
180	426	44
181	428	42
182	432	40
183	435	37
184	439	35
185	441	33
186	443	30
187	445	28
188	448	26
189	451	23
190	453	21
191	455	18
192	458	16
193	460	14
194	462	11
195	464	9
196	467	7
197	470	4
198	472	2
199	474	0
