Date_TimeCaught,year,week_of_year,year_woy,CaptureSite,Capture_Number
2000-01-01,2000,52,200052,CaptureSite_0,0.0
2000-12-18,2000,51,200051,CaptureSite_0,1.0
2001-01-01,2001,1,200101,CaptureSite_0,0.0
2001-01-08,2001,2,200102,CaptureSite_0,0.0
2001-01-15,2001,3,200103,CaptureSite_0,0.0
2001-01-22,2001,4,200104,CaptureSite_0,0.0
2001-01-29,2001,5,200105,CaptureSite_0,0.0
2001-02-05,2001,6,200106,CaptureSite_0,0.0
2001-02-12,2001,7,200107,CaptureSite_0,0.0
2001-02-19,2001,8,200108,CaptureSite_0,0.0
2001-02-26,2001,9,200109,CaptureSite_0,0.0
2001-03-05,2001,10,200110,CaptureSite_0,0.0
2001-03-12,2001,11,200111,CaptureSite_0,0.0
2001-03-19,2001,12,200112,CaptureSite_0,0.0
2001-03-26,2001,13,200113,CaptureSite_0,0.0
2001-04-02,2001,14,200114,CaptureSite_0,0.0
2001-04-09,2001,15,200115,CaptureSite_0,0.0
2001-04-16,2001,16,200116,CaptureSite_0,0.0
2001-04-23,2001,17,200117,CaptureSite_0,0.0
2001-04-30,2001,18,200118,CaptureSite_0,0.0
2001-05-07,2001,19,200119,CaptureSite_0,0.0
2001-05-14,2001,20,200120,CaptureSite_0,0.0
2001-05-21,2001,21,200121,CaptureSite_0,0.0
2001-05-28,2001,22,200122,CaptureSite_0,0.0
2001-06-04,2001,23,200123,CaptureSite_0,0.0
2001-06-11,2001,24,200124,CaptureSite_0,0.0
2001-06-18,2001,25,200125,CaptureSite_0,0.0
2001-06-25,2001,26,200126,CaptureSite_0,0.0
2001-07-02,2001,27,200127,CaptureSite_0,0.0
2001-07-09,2001,28,200128,CaptureSite_0,0.0
2001-07-16,2001,29,200129,CaptureSite_0,0.0
2001-07-23,2001,30,200130,CaptureSite_0,0.0
2001-07-30,2001,31,200131,CaptureSite_0,0.0
2001-08-06,2001,32,200132,CaptureSite_0,0.0
2001-08-13,2001,33,200133,CaptureSite_0,0.0
2001-08-20,2001,34,200134,CaptureSite_0,0.0
2001-08-27,2001,35,200135,CaptureSite_0,0.0
2001-09-03,2001,36,200136,CaptureSite_0,0.0
2001-09-10,2001,37,200137,CaptureSite_0,0.0
